FS - result of full search for any attachments reference in (), needs manual editing
RP - will repeat search, file probably moved already
OK - reference updated and file moved
NO - matched in 1st loop, no match in 2nd, needs manual editing
OK {'file': '3d-viewer-for-teamcenter.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\appstore\\app-services\\\\3d-viewer\\', 'line No.': 146, 'match': 'attachments/3d-viewer-for-teamcenter/teamcenter-setviewermodelid.jpg)', 'newInsert': '/attachments/appstore/app-services/3d-viewer/3d-viewer-for-teamcenter/teamcenter-setviewermodelid.jpg)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/appstore/app-services/3d-viewer/3d-viewer-for-teamcenter/teamcenter-setviewermodelid.jpg'}
OK {'file': '3d-viewer-for-teamcenter.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\appstore\\app-services\\\\3d-viewer\\', 'line No.': 150, 'match': 'attachments/3d-viewer-for-teamcenter/teamcenter-popuppageobject.jpg)', 'newInsert': '/attachments/appstore/app-services/3d-viewer/3d-viewer-for-teamcenter/teamcenter-popuppageobject.jpg)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/appstore/app-services/3d-viewer/3d-viewer-for-teamcenter/teamcenter-popuppageobject.jpg'}
OK {'file': '3d-viewer-for-teamcenter.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\appstore\\app-services\\\\3d-viewer\\', 'line No.': 154, 'match': 'attachments/3d-viewer-for-teamcenter/teamcenter-openselectedmodel.jpg)', 'newInsert': '/attachments/appstore/app-services/3d-viewer/3d-viewer-for-teamcenter/teamcenter-openselectedmodel.jpg)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/appstore/app-services/3d-viewer/3d-viewer-for-teamcenter/teamcenter-openselectedmodel.jpg'}
OK {'file': '3d-viewer-for-teamcenter.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\appstore\\app-services\\\\3d-viewer\\', 'line No.': 173, 'match': 'attachments/3d-viewer-for-teamcenter/teamcenter-showbomlinequery-nano.jpg)', 'newInsert': '/attachments/appstore/app-services/3d-viewer/3d-viewer-for-teamcenter/teamcenter-showbomlinequery-nano.jpg)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/appstore/app-services/3d-viewer/3d-viewer-for-teamcenter/teamcenter-showbomlinequery-nano.jpg'}
OK {'file': '3d-viewer-for-teamcenter.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\appstore\\app-services\\\\3d-viewer\\', 'line No.': 177, 'match': 'attachments/3d-viewer-for-teamcenter/teamcenter-setrevisionrules.jpg)', 'newInsert': '/attachments/appstore/app-services/3d-viewer/3d-viewer-for-teamcenter/teamcenter-setrevisionrules.jpg)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/appstore/app-services/3d-viewer/3d-viewer-for-teamcenter/teamcenter-setrevisionrules.jpg'}
OK {'file': '3d-viewer-for-teamcenter.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\appstore\\app-services\\\\3d-viewer\\', 'line No.': 181, 'match': 'attachments/3d-viewer-for-teamcenter/teamcenter-setrevisionpage.jpg)', 'newInsert': '/attachments/appstore/app-services/3d-viewer/3d-viewer-for-teamcenter/teamcenter-setrevisionpage.jpg)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/appstore/app-services/3d-viewer/3d-viewer-for-teamcenter/teamcenter-setrevisionpage.jpg'}
OK {'file': '_index.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\appstore\\app-services\\\\3d-viewer\\', 'line No.': 58, 'match': 'attachments/3d-viewer/widgetoutsidecontainer3d-structuremode.jpg)', 'newInsert': '/attachments/appstore/app-services/3d-viewer/widgetoutsidecontainer3d-structuremode.jpg)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/appstore/app-services/3d-viewer/widgetoutsidecontainer3d-structuremode.jpg'}
OK {'file': '_index.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\appstore\\app-services\\\\3d-viewer\\', 'line No.': 65, 'match': 'attachments/3d-viewer/shatteredjt-utf8.png)', 'newInsert': '/attachments/appstore/app-services/3d-viewer/shatteredjt-utf8.png)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/appstore/app-services/3d-viewer/shatteredjt-utf8.png'}
OK {'file': '_index.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\appstore\\app-services\\\\3d-viewer\\', 'line No.': 78, 'match': 'attachments/3d-viewer/import-3dviewer.jpg)', 'newInsert': '/attachments/appstore/app-services/3d-viewer/import-3dviewer.jpg)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/appstore/app-services/3d-viewer/import-3dviewer.jpg'}
OK {'file': '_index.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\appstore\\app-services\\\\3d-viewer\\', 'line No.': 107, 'match': 'attachments/3d-viewer/modeldocument.jpg)', 'newInsert': '/attachments/appstore/app-services/3d-viewer/modeldocument.jpg)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/appstore/app-services/3d-viewer/modeldocument.jpg'}
OK {'file': '_index.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\appstore\\app-services\\\\3d-viewer\\', 'line No.': 123, 'match': 'attachments/3d-viewer/pagination.jpg)', 'newInsert': '/attachments/appstore/app-services/3d-viewer/pagination.jpg)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/appstore/app-services/3d-viewer/pagination.jpg'}
OK {'file': '_index.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\appstore\\app-services\\\\3d-viewer\\', 'line No.': 151, 'match': 'attachments/3d-viewer/deletemodelfrommendix.jpg)', 'newInsert': '/attachments/appstore/app-services/3d-viewer/deletemodelfrommendix.jpg)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/appstore/app-services/3d-viewer/deletemodelfrommendix.jpg'}
OK {'file': '_index.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\appstore\\app-services\\\\3d-viewer\\', 'line No.': 155, 'match': 'attachments/3d-viewer/downloadmarkup.jpg)', 'newInsert': '/attachments/appstore/app-services/3d-viewer/downloadmarkup.jpg)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/appstore/app-services/3d-viewer/downloadmarkup.jpg'}
OK {'file': '_index.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\appstore\\app-services\\\\3d-viewer\\', 'line No.': 161, 'match': 'attachments/3d-viewer/CreateModelDocumentFromFileDocument.jpg)', 'newInsert': '/attachments/appstore/app-services/3d-viewer/CreateModelDocumentFromFileDocument.jpg)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/appstore/app-services/3d-viewer/CreateModelDocumentFromFileDocument.jpg'}
